,Total,"Household experienced loss of employment income since March 13, 2020","Household did not experience loss of employment income since March 13, 2020","Household did report loss of employment income since March 13, 2020",Household expects loss of employment income in next 4 weeks,Household does not expect loss of employment income in next 4 weeks,Household did not report expecting loss of employment income in next 4 weeks,"Total Experienced loss of employment income since March 13, 2020",Total Expected loss of employment income in next 4-weeks,"% Household experienced loss of employment income since March 13, 2020","% Household did not experience loss of employment income since March 13, 2020",% Household expects loss of employment income in next 4 weeks,% Household does not expect loss of employment income in next 4 weeks
US,249170916.0,124268411.0,123753250.0,1149256.0,86934763.0,160945905.0,1290248.0,248021660.0,248021660.0,0.5010385423595665,0.4989614616723394,0.350512785859106,0.6489187476609906
"San Francisco-Oakland-Berkeley, CA MSA",3515749.0,1939867.0,1565815.0,10068.0,1248762.0,2254906.0,12081.0,3505681.0,3505681.0,0.553349548917885,0.44665073633339714,0.35621096157921955,0.6432148275898463
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",4520997.0,2039615.0,2425802.0,55581.0,1378448.0,3099109.0,43441.0,4465416.0,4465416.0,0.4567581161531199,0.5432421077901812,0.30869419556878913,0.6940247000503424
"Atlanta-Sandy Springs-Alpharetta, GA MSA",4474973.0,2283419.0,2177024.0,14529.0,1518739.0,2942623.0,13611.0,4460444.0,4460444.0,0.5119263911843753,0.4880733846226967,0.3404905430939162,0.6597152660138766
"Boston-Cambridge-Newton, MA-NH MSA",3771315.0,2061859.0,1701976.0,7480.0,1318766.0,2435791.0,16758.0,3763835.0,3763835.0,0.5478080202771907,0.45219197972280933,0.35037827109849395,0.64715668991866
"Detroit-Warren-Dearborn, MI MSA",3832309.0,2251681.0,1562746.0,17882.0,1298329.0,2520775.0,13205.0,3814427.0,3814427.0,0.5903064864001853,0.4096935135998146,0.34037327231586817,0.6608528620419266
"Houston-The Woodlands-Sugar Land, TX MSA",5644640.0,3397233.0,2207688.0,39719.0,2936236.0,2681244.0,27161.0,5604921.0,5604921.0,0.6061161254547567,0.3938838745452434,0.5238675085697015,0.47837320097821184
"Phoenix-Mesa-Chandler, AZ MSA",3962617.0,1937566.0,1981557.0,43493.0,1597371.0,2347450.0,17795.0,3919124.0,3919124.0,0.49438752129302366,0.5056122235479154,0.40758368451725435,0.5989731378746883
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",4653519.0,2599745.0,2031649.0,22125.0,2102571.0,2530381.0,20567.0,4631394.0,4631394.0,0.5613309945126672,0.43866900548733273,0.45398232152133894,0.546354078275353
"Philadelphia-Camden-Wilmington, PA,NJ-DE-MD MSA",5092650.0,2569892.0,2497359.0,25399.0,1683109.0,3400833.0,8707.0,5067251.0,5067251.0,0.5071570364286276,0.4928429635713723,0.3321542587884437,0.6711396376457373
"Riverside-San Bernadino-Ontario, CA MSA",4433840.0,2602657.0,1806793.0,24389.0,2347898.0,2060642.0,25300.0,4409451.0,4409451.0,0.5902451348251744,0.4097546383892235,0.5324694616177842,0.4673239366986956
"Dallas-Fort Worth-Arlington, TX MSA",6013109.0,3019269.0,2981527.0,12313.0,2449120.0,3547069.0,16920.0,6000796.0,6000796.0,0.5031447494632378,0.4968552505367621,0.408132521085536,0.5910997474335071
"Chicago-Naperville-Elgin, IL-IN-WI MSA",7128595.0,3741972.0,3364001.0,22622.0,2158532.0,4943247.0,26816.0,7105973.0,7105973.0,0.5265953022900594,0.47340469770994065,0.3037630455392949,0.6956467467579739
"New York-Newark-Jersey City, NY-NJ-PA",14089062.0,7973195.0,5944665.0,171202.0,5934137.0,7990089.0,164836.0,13917860.0,13917860.0,0.5728750684372453,0.4271249315627546,0.42636849343218,0.5740889044723829
"Seattle-Tacoma-Bellevue, WA MSA",3165001.0,1553167.0,1603377.0,8457.0,905768.0,2251998.0,7235.0,3156544.0,3156544.0,0.492046681433872,0.507953318566128,0.28694927110155916,0.7134378611544778
"Los Angeles-Long Beach-Anaheim, CA MSA",9560179.0,6166781.0,3352919.0,40479.0,4837910.0,4660153.0,62117.0,9519700.0,9519700.0,0.6477915270439194,0.35220847295608054,0.5081998382301963,0.4895272960282362
